huh,ms,on_off,dunno,noclue,noclue
1,40334, Note_on_c,0,62,98
1,40408, Note_off_c,0,62,64
1,40414, Note_on_c,0,59,98
1,40472, Note_off_c,0,59,64
1,40511, Note_on_c,0,62,98
1,40575, Note_off_c,0,62,64
1,40583, Note_on_c,0,59,98
1,40640, Note_off_c,0,59,64
1,40676, Note_on_c,0,62,98
1,40736, Note_on_c,0,59,98
1,40752, Note_off_c,0,62,64
1,40805, Note_off_c,0,59,64
1,40854, Note_on_c,0,62,98
1,40905, Note_on_c,0,59,98
1,40930, Note_off_c,0,62,64
1,40967, Note_off_c,0,59,64
1,41009, Note_on_c,0,62,98
1,41059, Note_on_c,0,59,98
1,41088, Note_off_c,0,62,64
1,41097, Note_off_c,0,59,64
1,41159, Note_on_c,0,62,98
1,41182, Note_on_c,0,59,98
1,41231, Note_off_c,0,62,64
1,41251, Note_off_c,0,59,64
1,41297, Note_on_c,0,62,98
1,41351, Note_on_c,0,59,98
1,41389, Note_off_c,0,62,64
1,41412, Note_off_c,0,59,64
1,41467, Note_on_c,0,62,98
1,41520, Note_on_c,0,59,98
1,41520, Note_off_c,0,62,64
1,41552, Note_off_c,0,59,64
1,41604, Note_on_c,0,62,98
1,41704, Note_off_c,0,62,64
1,41712, Note_on_c,0,59,98
1,41742, Note_on_c,0,62,98
1,41742, Note_off_c,0,59,64
1,41804, Note_on_c,0,59,98
1,41865, Note_off_c,0,59,64
1,41957, Note_off_c,0,62,64
1,41965, Note_on_c,0,59,98
1,42037, Note_off_c,0,59,64
1,42075, Note_on_c,0,62,98
1,42136, Note_off_c,0,62,64
1,42145, Note_on_c,0,59,98
1,42197, Note_off_c,0,59,64
1,42218, Note_on_c,0,62,98
1,42303, Note_off_c,0,62,64
1,42311, Note_on_c,0,59,98
1,42354, Note_off_c,0,59,64
1,42372, Note_on_c,0,59,98
1,42429, Note_on_c,0,62,98
1,42434, Note_off_c,0,59,64
1,42502, Note_off_c,0,62,64
1,42543, Note_on_c,0,59,98
1,42602, Note_off_c,0,59,64
1,42643, Note_on_c,0,62,98
1,42697, Note_off_c,0,62,64
1,42717, Note_on_c,0,59,98
1,42766, Note_off_c,0,59,64
1,42810, Note_on_c,0,62,98
1,42861, Note_off_c,0,62,64
1,42881, Note_on_c,0,59,98
1,42923, Note_off_c,0,59,64
1,42969, Note_on_c,0,62,98
1,43018, Note_on_c,0,59,98
1,43020, Note_off_c,0,62,64
1,43045, Note_off_c,0,59,64
1,43518, Note_on_c,0,62,98
1,43555, Note_on_c,0,48,98
1,43565, Note_off_c,0,62,64
1,43631, Note_off_c,0,48,64
1,43818, Note_on_c,0,62,98
1,43893, Note_off_c,0,62,64
1,43960, Note_on_c,0,48,98
1,44008, Note_off_c,0,48,64
1,44087, Note_on_c,0,62,98
1,44151, Note_off_c,0,62,64
1,44361, Note_on_c,0,62,98
1,44423, Note_off_c,0,62,64
1,44523, Note_on_c,0,48,98
1,44584, Note_off_c,0,48,64
1,44639, Note_on_c,0,62,98
1,44701, Note_off_c,0,62,64
1,44837, Note_on_c,0,48,98
1,44891, Note_off_c,0,48,64
1,44960, Note_on_c,0,62,98
1,45006, Note_off_c,0,62,64
1,45109, Note_on_c,0,48,98
1,45191, Note_off_c,0,48,64
1,45245, Note_on_c,0,62,98
1,45287, Note_off_c,0,62,64
1,45375, Note_on_c,0,62,98
1,45421, Note_off_c,0,62,64
1,45507, Note_on_c,0,48,98
1,45575, Note_off_c,0,48,64
1,45659, Note_on_c,0,62,98
1,45705, Note_off_c,0,62,64
1,45959, Note_on_c,0,48,98
1,46038, Note_off_c,0,48,64
1,46097, Note_on_c,0,62,98
1,46138, Note_off_c,0,62,64
1,46197, Note_on_c,0,48,98
1,46274, Note_off_c,0,48,64
1,46481, Note_on_c,0,62,98
1,46542, Note_off_c,0,62,64
1,46780, Note_on_c,0,64,98
1,46819, Note_on_c,0,62,98
1,46869, Note_on_c,0,60,98
1,46881, Note_off_c,0,64,64
1,46934, Note_off_c,0,62,64
1,46976, Note_on_c,0,59,98
1,46980, Note_off_c,0,60,64
1,47041, Note_off_c,0,59,64
1,47049, Note_on_c,0,48,98
1,47095, Note_on_c,0,50,98
1,47150, Note_off_c,0,48,64
1,47211, Note_off_c,0,50,64
1,47264, Note_on_c,0,59,98
1,47364, Note_off_c,0,59,64
1,47527, Note_on_c,0,50,98
1,47671, Note_off_c,0,50,64
1,47856, Note_on_c,0,59,98
1,47909, Note_off_c,0,59,64
1,48080, Note_on_c,0,53,98
1,48132, Note_off_c,0,53,64
1,48209, Note_on_c,0,62,98
1,48286, Note_off_c,0,62,64
1,48447, Note_on_c,0,53,98
1,48485, Note_off_c,0,53,64
1,48670, Note_on_c,0,62,98
1,48762, Note_off_c,0,62,64
1,48870, Note_on_c,0,53,98
1,48938, Note_off_c,0,53,64
1,49146, Note_on_c,0,60,98
1,49248, Note_off_c,0,60,64
1,49296, Note_on_c,0,59,98
1,49353, Note_off_c,0,59,64
1,49407, Note_on_c,0,52,98
1,49484, Note_off_c,0,52,64
1,49537, Note_on_c,0,60,98
1,49637, Note_off_c,0,60,64
1,49662, Note_on_c,0,59,98
1,49754, Note_off_c,0,59,64
1,49816, Note_on_c,0,53,98
1,49891, Note_off_c,0,53,64
1,50008, Note_on_c,0,62,98
1,50091, Note_off_c,0,62,64
1,50236, Note_on_c,0,53,98
1,50296, Note_off_c,0,53,64
1,50341, Note_on_c,0,59,98
1,50401, Note_off_c,0,59,64
1,50481, Note_on_c,0,53,98
1,50539, Note_off_c,0,53,64
1,50754, Note_on_c,0,60,98
1,50853, Note_off_c,0,60,64
1,51030, Note_on_c,0,53,98
1,51161, Note_off_c,0,53,64
1,51263, Note_on_c,0,59,98
1,51307, Note_off_c,0,59,64
1,51391, Note_on_c,0,53,98
1,51445, Note_off_c,0,53,64
1,51516, Note_on_c,0,62,98
1,51575, Note_off_c,0,62,64
1,51800, Note_on_c,0,53,98
1,51913, Note_off_c,0,53,64
1,52084, Note_on_c,0,59,98
1,52144, Note_off_c,0,59,64
1,52343, Note_on_c,0,53,98
1,52420, Note_off_c,0,53,64
1,52482, Note_on_c,0,60,98
1,52535, Note_off_c,0,60,64
1,52866, Note_on_c,0,59,98
1,52927, Note_off_c,0,59,64
1,53150, Note_on_c,0,53,98
1,53237, Note_off_c,0,53,64
1,53449, Note_on_c,0,62,98
1,53505, Note_off_c,0,62,64
1,53603, Note_on_c,0,59,98
1,53656, Note_off_c,0,59,64
1,53718, Note_on_c,0,53,98
1,53795, Note_off_c,0,53,64
1,53873, Note_on_c,0,62,98
1,53941, Note_off_c,0,62,64
1,54225, Note_on_c,0,59,98
1,54281, Note_off_c,0,59,64
1,54486, Note_on_c,0,53,98
1,54549, Note_off_c,0,53,64
1,54617, Note_on_c,0,62,98
1,54660, Note_off_c,0,62,64
1,54763, Note_on_c,0,53,98
1,54839, Note_off_c,0,53,64
1,55064, Note_on_c,0,59,98
1,55116, Note_off_c,0,59,64
1,55316, Note_on_c,0,53,98
1,55408, Note_off_c,0,53,64
1,55723, Note_on_c,0,53,98
1,55794, Note_off_c,0,53,64
1,55842, Note_on_c,0,60,98
1,55915, Note_off_c,0,60,64
1,56084, Note_on_c,0,59,98
1,56160, Note_off_c,0,59,64
1,56253, Note_on_c,0,53,98
1,56330, Note_off_c,0,53,64
1,56637, Note_on_c,0,62,98
1,56698, Note_off_c,0,62,64
1,56753, Note_on_c,0,53,98
1,56828, Note_off_c,0,53,64
1,57075, Note_on_c,0,59,98
1,57159, Note_off_c,0,59,64
1,57393, Note_on_c,0,60,98
1,57489, Note_off_c,0,60,64
1,57635, Note_on_c,0,48,98
1,57704, Note_off_c,0,48,64
1,57758, Note_on_c,0,62,98
1,57829, Note_off_c,0,62,64
1,57905, Note_on_c,0,48,98
1,57968, Note_off_c,0,48,64
1,58057, Note_on_c,0,62,98
1,58119, Note_off_c,0,62,64
1,58203, Note_on_c,0,50,98
1,58290, Note_off_c,0,50,64
1,58449, Note_on_c,0,60,98
1,58526, Note_off_c,0,60,64
1,58764, Note_on_c,0,52,98
1,58848, Note_off_c,0,52,64
1,58879, Note_on_c,0,60,98
1,58929, Note_off_c,0,60,64
1,59033, Note_on_c,0,53,98
1,59133, Note_off_c,0,53,64
1,59302, Note_on_c,0,59,98
1,59363, Note_off_c,0,59,64
1,59578, Note_on_c,0,50,98
1,59701, Note_off_c,0,50,64
1,59831, Note_on_c,0,62,98
1,59877, Note_off_c,0,62,64
1,59977, Note_on_c,0,50,98
1,60039, Note_off_c,0,50,64
1,60108, Note_on_c,0,60,98
1,60169, Note_off_c,0,60,64
1,60361, Note_on_c,0,52,98
1,60484, Note_off_c,0,52,64
1,60645, Note_on_c,0,59,98
1,60715, Note_off_c,0,59,64
1,60907, Note_on_c,0,53,98
1,60960, Note_off_c,0,53,64
1,61014, Note_on_c,0,62,98
1,61068, Note_off_c,0,62,64
1,61152, Note_on_c,0,53,98
1,61200, Note_off_c,0,53,64
1,61314, Note_on_c,0,59,98
1,61368, Note_off_c,0,59,64
1,61467, Note_on_c,0,53,98
1,61523, Note_off_c,0,53,64
1,61659, Note_on_c,0,62,98
1,61736, Note_off_c,0,62,64
1,61974, Note_on_c,0,53,98
1,62035, Note_off_c,0,53,64
1,62151, Note_on_c,0,59,98
1,62204, Note_off_c,0,59,64
1,62281, Note_on_c,0,53,98
1,62345, Note_off_c,0,53,64
1,63019, Note_on_c,0,59,98
1,63062, Note_off_c,0,59,64
1,63134, Note_on_c,0,53,98
1,63185, Note_off_c,0,53,64
1,63272, Note_on_c,0,59,98
1,63318, Note_off_c,0,59,64
1,63426, Note_on_c,0,53,98
1,63481, Note_off_c,0,53,64
1,63541, Note_on_c,0,62,98
1,63579, Note_off_c,0,62,64
1,63671, Note_on_c,0,53,98
1,63719, Note_off_c,0,53,64
1,63811, Note_on_c,0,59,98
1,63848, Note_off_c,0,59,64
1,64086, Note_on_c,0,53,98
1,64147, Note_off_c,0,53,64
1,64217, Note_on_c,0,62,98
1,64263, Note_off_c,0,62,64
1,64355, Note_on_c,0,59,98
1,64424, Note_off_c,0,59,64
1,64501, Note_on_c,0,53,98
1,64594, Note_off_c,0,53,64
1,65438, Note_on_c,0,60,98
1,65520, Note_off_c,0,60,64
1,65576, Note_on_c,0,59,98
1,65630, Note_off_c,0,59,64
1,65739, Note_on_c,0,53,98
1,65829, Note_off_c,0,53,64
1,65899, Note_on_c,0,62,98
1,65960, Note_off_c,0,62,64
1,66060, Note_on_c,0,59,98
1,66152, Note_off_c,0,59,64
1,66490, Note_on_c,0,53,98
1,66592, Note_off_c,0,53,64
1,66993, Note_on_c,0,62,98
1,67035, Note_off_c,0,62,64
1,67185, Note_on_c,0,59,98
1,67250, Note_off_c,0,59,64
1,67352, Note_on_c,0,53,98
1,67404, Note_off_c,0,53,64
1,67475, Note_on_c,0,62,98
1,67550, Note_off_c,0,62,64
1,67642, Note_on_c,0,59,98
1,67743, Note_off_c,0,59,64
1,67942, Note_on_c,0,60,98
1,68011, Note_off_c,0,60,64
1,68113, Note_on_c,0,50,98
1,68241, Note_off_c,0,50,64
1,68374, Note_on_c,0,59,98
1,68426, Note_off_c,0,59,64
1,68602, Note_on_c,0,53,98
1,68702, Note_off_c,0,53,64
1,69140, Note_on_c,0,62,98
1,69195, Note_off_c,0,62,64
1,69431, Note_on_c,0,59,98
1,69480, Note_off_c,0,59,64
1,69763, Note_on_c,0,62,98
1,69831, Note_off_c,0,62,64
1,70230, Note_on_c,0,48,98
1,70246, Note_on_c,0,59,98
1,70291, Note_off_c,0,59,64
1,70353, Note_off_c,0,48,64
1,70514, Note_on_c,0,59,98
1,70577, Note_off_c,0,59,64
1,70737, Note_on_c,0,48,98
1,70821, Note_off_c,0,48,64
1,71259, Note_on_c,0,62,98
1,71267, Note_on_c,0,53,98
1,71336, Note_off_c,0,62,64
1,71360, Note_off_c,0,53,64
1,71559, Note_on_c,0,62,98
1,71635, Note_off_c,0,62,64
1,71774, Note_on_c,0,53,98
1,71851, Note_off_c,0,53,64
1,72074, Note_on_c,0,64,98
1,72150, Note_off_c,0,64,64
1,72327, Note_on_c,0,48,98
1,72371, Note_on_c,0,64,98
1,72457, Note_off_c,0,64,64
1,72519, Note_off_c,0,48,64
1,72796, Note_on_c,0,50,98
1,72913, Note_on_c,0,60,98
1,72952, Note_off_c,0,50,64
1,73041, Note_on_c,0,59,98
1,73057, Note_off_c,0,60,64
1,73164, Note_off_c,0,59,64
1,73225, Note_on_c,0,50,98
1,73330, Note_off_c,0,50,64
1,73491, Note_on_c,0,60,98
1,73540, Note_off_c,0,60,64
1,73994, Note_on_c,0,60,98
1,74033, Note_off_c,0,60,64
1,74480, Note_on_c,0,60,98
1,74523, Note_off_c,0,60,64
1,75007, Note_on_c,0,60,98
1,75062, Note_off_c,0,60,64
1,75360, Note_on_c,0,62,98
1,75409, Note_off_c,0,62,64
1,75537, Note_on_c,0,48,98
1,75621, Note_off_c,0,48,64
1,75890, Note_on_c,0,60,98
1,75967, Note_off_c,0,60,64
1,76061, Note_on_c,0,48,98
